INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	364	Iran (Islamic Republic of)	F	Female	Y15T19	15 to 19 years old	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2010, 2011, 2012, 2013, 2014, 2016]	2000	2016	13	1	6
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	462	Maldives	F	Female	Y15T19	15 to 19 years old	73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[2000, 2001, 2002, 2003, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	15	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	8	Albania	F	Female	Y15T19	15 to 19 years old	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	36	Australia	F	Female	Y15T19	15 to 19 years old	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	40	Austria	F	Female	Y15T19	15 to 19 years old	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	56	Belgium	F	Female	Y15T19	15 to 19 years old	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	191	Croatia	F	Female	Y15T19	15 to 19 years old	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	196	Cyprus	F	Female	Y15T19	15 to 19 years old	33.22285964	35.05659437	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	246	Finland	F	Female	Y15T19	15 to 19 years old	23.308447	61.91586738	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	380	Italy	F	Female	Y15T19	15 to 19 years old	12.57022427	42.79917282	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2000	2017	18	3	8
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	392	Japan	F	Female	Y15T19	15 to 19 years old	139.2716103	36.6554539	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	438	Liechtenstein	F	Female	Y15T19	15 to 19 years old	9.552985019	47.14167005	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2014, 2015]	2000	2015	14	1	4
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	440	Lithuania	F	Female	Y15T19	15 to 19 years old	23.90517807	55.33680309	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	442	Luxembourg	F	Female	Y15T19	15 to 19 years old	6.092656563	49.77679538	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	498	Republic of Moldova	F	Female	Y15T19	15 to 19 years old	28.4650624	47.20236795	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016]	2000	2016	16	1	6
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	499	Montenegro	F	Female	Y15T19	15 to 19 years old	19.25214024	42.78717043	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	528	Netherlands	F	Female	Y15T19	15 to 19 years old	5.331480568	51.86728884	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	674	San Marino	F	Female	Y15T19	15 to 19 years old	12.46329038	43.93841766	1.0	4	Country or Area	Europe and Northern America	[2003, 2004, 2012]	2003	2012	3	0	1
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	724	Spain	F	Female	Y15T19	15 to 19 years old	-3.554078296	40.39211472	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	752	Sweden	F	Female	Y15T19	15 to 19 years old	14.3775338	60.60103109	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	804	Ukraine	F	Female	Y15T19	15 to 19 years old	31.40270802	49.00735945	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2016]	2000	2016	15	1	5
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	807	North Macedonia	F	Female	Y15T19	15 to 19 years old	21.7007909	41.60048068	1.0	4	Country or Area	Europe and Northern America	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	2	7
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	434	Libya	F	Female	Y15T19	15 to 19 years old	18.0295985	27.04042819	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2002, 2005, 2009, 2013]	2000	2013	5	0	1
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	788	Tunisia	F	Female	Y15T19	15 to 19 years old	9.572737411	34.11439971	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2005, 2006, 2007, 2010, 2011]	2000	2011	6	0	2
52	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	41	Adolescent birth rate (aged 15-19 years) per 1 000 women in that age group	242	Fiji	F	Female	Y15T19	15 to 19 years old	177.9660884	-17.83301566	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2002, 2004, 2008, 2014]	2002	2014	4	0	1
