INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	ICT_SKILL	ICT_SKILL_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	5000	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2019]	2019	2019	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	_T	Both sexes or no breakdown by sex	COPA	Using copy and paste tools to duplicate or move information within a document	SEX__ICT_SKILL	_T__COPA	Both sexes or no breakdown by sex, using copy and paste tools to duplicate or move information within a document	5000	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2019]	2019	2019	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	5000	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2019]	2019	2019	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	5000	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2019]	2019	2019	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	_T	Both sexes or no breakdown by sex	SOFT	Finding, downloading, installing and configuring software	SEX__ICT_SKILL	_T__SOFT	Both sexes or no breakdown by sex, finding, downloading, installing and configuring software	5000	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2019]	2019	2019	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	5000	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2019]	2019	2019	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	_T	Both sexes or no breakdown by sex	COPA	Using copy and paste tools to duplicate or move information within a document	SEX__ICT_SKILL	_T__COPA	Both sexes or no breakdown by sex, using copy and paste tools to duplicate or move information within a document	5000	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2018]	2018	2018	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	5000	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2018]	2018	2018	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	_T	Both sexes or no breakdown by sex	EMAIL	Sending e-mails with attached files	SEX__ICT_SKILL	_T__EMAIL	Both sexes or no breakdown by sex, sending e-mails with attached files	5000	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2018]	2018	2018	1	1	1
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	_T	Both sexes or no breakdown by sex	SOFT	Finding, downloading, installing and configuring software	SEX__ICT_SKILL	_T__SOFT	Both sexes or no breakdown by sex, finding, downloading, installing and configuring software	5000	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2018]	2018	2018	1	1	1
