INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC
1,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",72,"Average number of hours spent on domestic chores and care work, by sex, age and location"
1,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",88,"Average number of hours spent on unpaid care work, by sex, age and location"
1,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",87,"Average number of hours spent on unpaid domestic chores, by sex, age and location"
2,"Average number of hours spent on total work (total work burden), by sex",73,"Average number of hours spent on total work combined (total work burden), by sex"
3,"Labour force participation rates for persons aged 15-24 and 15+, by sex",2,"Labour force participation rate for persons aged 15+, by sex"
3,"Labour force participation rates for persons aged 15-24 and 15+, by sex",1,"Labour force participation rate for persons aged 15-24, by sex"
4,"Proportion of employed who are own-account workers, by sex",3,"Proportion of employed who are own-account workers, by sex"
5,"Proportion of employed who are contributing family workers, by sex",4,"Proportion of employed who are contributing family workers, by sex"
6,"Proportion of employed who are employers, by sex",5,"Proportion of employed who are employers, by sex"
8,"Percentage distribution of employed population by sector, each sex (Sectors here refer to Agriculture; Industry; Services)",8,"Percentage distribution of employed population in service sector, by sex"
8,"Percentage distribution of employed population by sector, each sex (Sectors here refer to Agriculture; Industry; Services)",7,"Percentage distribution of employed population in industrial sector, by sex"
8,"Percentage distribution of employed population by sector, each sex (Sectors here refer to Agriculture; Industry; Services)",6,"Percentage distribution of employed population in agricultural sector, by sex"
9,"Proportion of informal employment in non agriculture employment, by sex",74,"Proportion of informal employment in non-agriculture employment, by sex"
10,"Unemployment rate, by sex, age and persons with disabilities",108,"Unemployment rate, by sex and age"
11,"Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex",80,"Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex"
13,"Gender gap in wages, by occupation, age and persons with disabilities",82,"Gender gap in wages, by occupation, age and persons with disabilities"
14,"Proportion of employed working part-time, by sex",10,"Proportion of employed working part-time, by sex"
17,"Proportion of individuals using the Internet, by sex",11,"Proportion of individuals using the Internet, by sex"
18,"Proportion of individuals who own a mobile telephone, by sex",12,"Proportion of individuals who own a mobile telephone, by sex"
20,"Youth literacy rate of persons aged 15-24 years, by sex",13,"Youth literacy rate of persons (15-24 years), by sex"
21,Adjusted net enrolment rate in primary education by sex,14,Adjusted net enrolment rate in primary education by sex
22,"Gross enrolment ratio in secondary education, by sex",15,"Gross enrolment ratio in secondary education, by sex"
23,"Gross enrolment ratio in tertiary education, by sex",16,"Gross enrolment ratio in tertiary education, by sex"
24,"Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education",17,Gender parity index of the gross enrolment ratios in primary education
24,"Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education",18,Gender parity index of the gross enrolment ratios in secondary education
24,"Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education",19,Gender parity index of the gross enrolment ratios in tertiary education
25,"Share of female science, technology, engineering and mathematics graduates at tertiary level",55,"Share of female science, technology, engineering and mathematics graduates at tertiary level"
26,Proportion of females among tertiary education teachers or professors,56,Proportion of females among tertiary education teachers or professors
27,"Adjusted net intake rate to the first grade of primary education, by sex",20,"Adjusted net intake rate to the first grade of primary education, by sex"
28,"Primary education completion rate (proxy), by sex",21,"Primary education completion rate (proxy), by sex"
29,"Gross graduation ratio from lower secondary education, by sex",22,"Gross graduation ratio from lower secondary education, by sex"
30,"Effective transition rate from primary to secondary education (general programmes), by sex",23,"Effective transition rate from primary to secondary education (general programmes), by sex"
31,Educational attainment of the population aged 25 and older by sex,46,"Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex"
31,Educational attainment of the population aged 25 and older by sex,50,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex"
31,Educational attainment of the population aged 25 and older by sex,54,"Educational attainment (minimum primary) of the population aged 25 and older, by sex"
31,Educational attainment of the population aged 25 and older by sex,51,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex"
31,Educational attainment of the population aged 25 and older by sex,48,"Educational attainment (minimum upper secondary) of the population aged 25 and older, by sex"
32,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,25,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods
32,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,91,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates
33,"Under-five mortality rate, by sex",26,"Under-five mortality rate, by sex"
34,Maternal mortality ratio,27,Maternal mortality ratio
35,Antenatal care coverage,28,"Antenatal care coverage, at least one visit"
35,Antenatal care coverage,29,"Antenatal care coverage, at least four visits"
36,Proportion of births attended by skilled health personnel,30,Proportion of births attended by skilled health personnel
37,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex",31,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
38,"Proportion of adults who are obese, by sex",32,"Proportion of adults who are obese, by sex"
39,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",33,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations"
40,"Access to anti-retroviral drug, by sex",34,"Access to anti-retroviral drug, by sex"
41,"Life expectancy at age 60, by sex",35,"Life expectancy at age 60, by sex"
