INDICATOR_ID	MINSET_SERIES	METADATA_CATEGORY	METADATA_CATEGORY_DESC	METADATA_DESCRIPTION	METADATA_SOURCE
1	72	1	Contact point in international agency	"Organization(s): 

UN Statistics Division (UNSD)"	https://unstats.un.org/sdgs/metadata/
1	72	2	International agreed definition	"Definition: 

This indicator is defined as the average number of hours spent in a day on unpaid domestic and care work by men and women. Unpaid domestic and care work refers to activities related to the provision of services for own final use by household members, or by family members living in other households. These activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household and family members” and “4. Unpaid caregiving services for household and family members”. 

  Concepts: 

_Unpaid domestic and care work _refers to activities including food preparation, dishwashing, cleaning and upkeep of the dwelling, laundry, ironing, gardening, caring for pets, shopping, installation, servicing and repair of personal and household goods, childcare, and care of the sick, elderly or disabled household and family members, among others. These activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household and family members” and “4. Unpaid caregiving services for household and family members”.

_Unpaid domestic and care work _refers to activities including food preparation, dishwashing, cleaning and upkeep of the dwelling, laundry, ironing, gardening, caring for pets, shopping, installation, servicing and repair of personal and household goods, childcare, and care of the sick, elderly or disabled household and family members, among others. These activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household and family members” and “4. Unpaid caregiving services for household and family members”.

Concepts and definitions for this indicator are based on the following international standards:

*   System of National Accounts 2008 (SNA 2008)
*   The Resolution concerning statistics of work, employment and labour underutilization, adopted by the International Conference of Labour Statisticians (ICLS) at its 19th Session in 2013
*   International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)

*   System of National Accounts 2008 (SNA 2008)
*   The Resolution concerning statistics of work, employment and labour underutilization, adopted by the International Conference of Labour Statisticians (ICLS) at its 19th Session in 2013
*   International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)

*   System of National Accounts 2008 (SNA 2008)
*   The Resolution concerning statistics of work, employment and labour underutilization, adopted by the International Conference of Labour Statisticians (ICLS) at its 19th Session in 2013
*   International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)

Relevant specific concepts are presented below:

*   An activity is said to be productive or to fall within the “general production boundary” if it satisfies the third-person criterion (the activity can be delegated to another person and yield the same desired results).
*   Productive activities can be further classified based on the ILO framework for work statistics (included in the 19<sup>th</sup> ICLS resolution) into:

1.   Own-use production work (activities to produce goods and services for own final use; the intended destination of the output is mainly for final use of the producer in the form of capital formation, or final consumption by household members or by family members living in other households; in the case of agricultural, fishing, hunting or gathering goods intended mainly for own consumption, a part or surplus may nevertheless be sold or bartered)
2.   Employment (activities to produce goods or provide services for pay or profit)
3.   Unpaid trainee work (any unpaid activity to produce goods or provide services for others, in order to acquire workplace experience or skills in a trade or profession)
4.   Volunteer work (any unpaid, non-compulsory activity to produce goods or provide services for others)
5.   Other forms of work

1.   Own-use production work (activities to produce goods and services for own final use; the intended destination of the output is mainly for final use of the producer in the form of capital formation, or final consumption by household members or by family members living in other households; in the case of agricultural, fishing, hunting or gathering goods intended mainly for own consumption, a part or surplus may nevertheless be sold or bartered)
2.   Employment (activities to produce goods or provide services for pay or profit)
3.   Unpaid trainee work (any unpaid activity to produce goods or provide services for others, in order to acquire workplace experience or skills in a trade or profession)
4.   Volunteer work (any unpaid, non-compulsory activity to produce goods or provide services for others)
5.   Other forms of work

1.   Own-use production work (activities to produce goods and services for own final use; the intended destination of the output is mainly for final use of the producer in the form of capital formation, or final consumption by household members or by family members living in other households; in the case of agricultural, fishing, hunting or gathering goods intended mainly for own consumption, a part or surplus may nevertheless be sold or bartered)
2.   Employment (activities to produce goods or provide services for pay or profit)
3.   Unpaid trainee work (any unpaid activity to produce goods or provide services for others, in order to acquire workplace experience or skills in a trade or profession)
4.   Volunteer work (any unpaid, non-compulsory activity to produce goods or provide services for others)
5.   Other forms of work

1.   Own-use production work (activities to produce goods and services for own final use; the intended destination of the output is mainly for final use of the producer in the form of capital formation, or final consumption by household members or by family members living in other households; in the case of agricultural, fishing, hunting or gathering goods intended mainly for own consumption, a part or surplus may nevertheless be sold or bartered)
2.   Employment (activities to produce goods or provide services for pay or profit)
3.   Unpaid trainee work (any unpaid activity to produce goods or provide services for others, in order to acquire workplace experience or skills in a trade or profession)
4.   Volunteer work (any unpaid, non-compulsory activity to produce goods or provide services for others)
5.   Other forms of work

1.   Own-use production work (activities to produce goods and services for own final use; the intended destination of the output is mainly for final use of the producer in the form of capital formation, or final consumption by household members or by family members living in other households; in the case of agricultural, fishing, hunting or gathering goods intended mainly for own consumption, a part or surplus may nevertheless be sold or bartered)
2.   Employment (activities to produce goods or provide services for pay or profit)
3.   Unpaid trainee work (any unpaid activity to produce goods or provide services for others, in order to acquire workplace experience or skills in a trade or profession)
4.   Volunteer work (any unpaid, non-compulsory activity to produce goods or provide services for others)
5.   Other forms of work

The own-use production work can be differentiated based on whether goods or services are produced.

_This indicator only considers the own-use production work of services, or in other words, the activities related to unpaid domestic services and unpaid caregiving services undertaken by households for their own use. These activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household and family members” and “4. Unpaid caregiving services for household and family members”._

As much as possible, statistics compiled by UNSD are based on the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016), which classifies activities undertaken by persons during the survey period. ICATUS 2016 was adopted by the United Nations Statistical Commission for use as an international statistical classification at its 48th session, 7-10 March 2017.

  Comments and limitations: 

Time use statistics have been used for: (1) provide a measure of quality of life or general wellbeing of individuals and households; (2) offer a more comprehensive measurement of all forms of work, including unpaid household service work; (3) produce data relevant for monitoring gender equality and the empowerment of women and girls and are essential inputs for the policy and political dialogue on gender equality.

International comparability of time-use statistics is limited by a number of factors, including: 

1.   Diary versus stylized time-use survey. Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries, respondents are asked to report on what activity they were performing when they started the day, what activity followed, and the time that activity began and ended, and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period, such as a day or week. Often, stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection. Data obtained from these two different data collection methods are usually not comparable, and even data collected with different stylized questions might not be comparable given that the level of details asked about activities performed might differ from one instrument to another, thus impacting the total time spent on a given activity. 
2.   Time-use activity classification. Regional and national classifications of time-use activities may differ from ICATUS 2016, resulting in data that are not comparable across countries. 
3.   Time-use data presented refer to the “main activity” only. Any “secondary activity” performed simultaneously with the main activity is not reflected in the average times shown. For instance, a woman may be cooking and looking after a child simultaneously. For countries reporting cooking as the main activity, time spent caring for children is not accounted for and reflected in the statistics. This may affect international comparability of data on time spent caring for children; it may also underestimate the time women spend on this activity. 
4.   Different target age population used by countries and age groups used also make time use data difficult to compare across countries.

1.   Diary versus stylized time-use survey. Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries, respondents are asked to report on what activity they were performing when they started the day, what activity followed, and the time that activity began and ended, and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period, such as a day or week. Often, stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection. Data obtained from these two different data collection methods are usually not comparable, and even data collected with different stylized questions might not be comparable given that the level of details asked about activities performed might differ from one instrument to another, thus impacting the total time spent on a given activity. 
2.   Time-use activity classification. Regional and national classifications of time-use activities may differ from ICATUS 2016, resulting in data that are not comparable across countries. 
3.   Time-use data presented refer to the “main activity” only. Any “secondary activity” performed simultaneously with the main activity is not reflected in the average times shown. For instance, a woman may be cooking and looking after a child simultaneously. For countries reporting cooking as the main activity, time spent caring for children is not accounted for and reflected in the statistics. This may affect international comparability of data on time spent caring for children; it may also underestimate the time women spend on this activity. 
4.   Different target age population used by countries and age groups used also make time use data difficult to compare across countries.

1.   Diary versus stylized time-use survey. Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries, respondents are asked to report on what activity they were performing when they started the day, what activity followed, and the time that activity began and ended, and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period, such as a day or week. Often, stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection. Data obtained from these two different data collection methods are usually not comparable, and even data collected with different stylized questions might not be comparable given that the level of details asked about activities performed might differ from one instrument to another, thus impacting the total time spent on a given activity. 
2.   Time-use activity classification. Regional and national classifications of time-use activities may differ from ICATUS 2016, resulting in data that are not comparable across countries. 
3.   Time-use data presented refer to the “main activity” only. Any “secondary activity” performed simultaneously with the main activity is not reflected in the average times shown. For instance, a woman may be cooking and looking after a child simultaneously. For countries reporting cooking as the main activity, time spent caring for children is not accounted for and reflected in the statistics. This may affect international comparability of data on time spent caring for children; it may also underestimate the time women spend on this activity. 
4.   Different target age population used by countries and age groups used also make time use data difficult to compare across countries.

1.   Diary versus stylized time-use survey. Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries, respondents are asked to report on what activity they were performing when they started the day, what activity followed, and the time that activity began and ended, and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period, such as a day or week. Often, stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection. Data obtained from these two different data collection methods are usually not comparable, and even data collected with different stylized questions might not be comparable given that the level of details asked about activities performed might differ from one instrument to another, thus impacting the total time spent on a given activity. 
2.   Time-use activity classification. Regional and national classifications of time-use activities may differ from ICATUS 2016, resulting in data that are not comparable across countries. 
3.   Time-use data presented refer to the “main activity” only. Any “secondary activity” performed simultaneously with the main activity is not reflected in the average times shown. For instance, a woman may be cooking and looking after a child simultaneously. For countries reporting cooking as the main activity, time spent caring for children is not accounted for and reflected in the statistics. This may affect international comparability of data on time spent caring for children; it may also underestimate the time women spend on this activity. 
4.   Different target age population used by countries and age groups used also make time use data difficult to compare across countries."	https://unstats.un.org/sdgs/metadata/
1	72	3	Method of computation	"Computation Method: 

Data presented for this indicator are expressed as the average number of hours spent in a day on unpaid domestic and care work. Weekly data are averaged over seven days of the week to obtain the daily average time. 

Average number of hours spent in a day on relevant activities = 

(Total number of hours spent by the population on relevant activities)/(Total population (regardless of whether they participated in the activity))

Average number of hours spent on unpaid domestic and care work derives from time use statistics that is collected through stand-alone time-use surveys or a time-use module in multi-purpose household surveys. Data on time-use may be summarized and presented as either (1) average time spent for participants (in a given activity) only or (2) average time spent for all population of a certain age (total relevant population). In the former type of averages, the total time spent by the individuals who performed an activity is divided by the number of persons who performed it (participants). In the latter type of averages, the total time is divided by the total relevant population (or a sub-group thereof), regardless of whether people performed the activity or not. 

_This indicator is calculated based on the average number of hours spent on unpaid domestic and unpaid care work for the total relevant population. This type of measures can be used to compare groups and assess changes over time. Differences among groups or over time may be due to a difference (or change) in the proportion of those participating in the specific activity or a difference (or change) in the amount of time spent by participants, or both. _

  Methods and guidance available to countries for the compilation of the data at the national level: 

International Classification of Activities for Time Use Statistics 2016: <https://unstats.un.org/unsd/demographic-social/time-use/icatus-2016/>

International Classification of Activities for Time Use Statistics 2016: <https://unstats.un.org/unsd/demographic-social/time-use/icatus-2016/>

Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work: [https://unstats.un.org/unsd/publication/SeriesF/SeriesF\_93E.pdf](https://unstats.un.org/unsd/publication/SeriesF/SeriesF_93E.pdf)

Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work: [https://unstats.un.org/unsd/publication/SeriesF/SeriesF\_93E.pdf](https://unstats.un.org/unsd/publication/SeriesF/SeriesF_93E.pdf)

System of National Accounts 2008 (SNA 2008): <https://unstats.un.org/unsd/nationalaccount/sna2008.asp>

System of National Accounts 2008 (SNA 2008): <https://unstats.un.org/unsd/nationalaccount/sna2008.asp>

The Resolution concerning statistics of work, employment and labour underutilization:

[http://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS\_230304/lang--en/index.htm](http://www.ilo.org/global/statistics-and-databases/standards-and-guidelines/resolutions-adopted-by-international-conferences-of-labour-statisticians/WCMS_230304/lang--en/index.htm)

  Quality assurance 

UNSD has been reviewing in detail the survey methodology followed to collect time use data and the classification of activities used by countries, to assess the level of comparability across countries and over time in a given country. 

__Consultation/validation process with countries for adjustments and estimates__

Most of the data are provided and validated by national statistical offices. In some cases, data have been obtained from publicly available national databases and publications. UNSD communicates with countries if there are inconsistencies or possible errors in the data."	https://unstats.un.org/sdgs/metadata/
1	72	4	Importance of the indicator in addressing gender issues and its limitation	Time use statistics have been used for: (a) the measurement and analysis of quality of life or general well-being; (b) a more comprehensive measurement of all forms of work including unpaid and volunteer work; and (c) for the improvement of estimates on the production of goods and services with particular emphasis on increasing visibility of women’s work through better statistics on their contribution to the economy and the development of satellite accounts.International comparability of time-use statistics is limited by a number of factors including: (a) diary versus stylized time-use survey. Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries respondents are asked to report on what activity they were performing when they started the day what activity followed and the time that activity began and ended and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period such as a day or week. Often stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection. Data obtained from these two different data collection methods are not comparable. (b) Time-use activity classification. Regional and national classifications of time-use activities may differ from the trial ICATUS resulting in data that are not comparable across countries. (c) Time-use data presented refer to the “main activity” only. Any “secondary activity” performed simultaneously with the main activity is not reflected in the average times shown. For instance a woman may be cooking and looking after a child simultaneously. For countries reporting cooking as the main activity time spent caring for children is not accounted for and reflected in the statistics. This may affect international comparability of data on time spent caring for children; it may also underestimate the time women spend on this activity. (d) The different age groups presented by countries for their data also makes time use data incomparable across countries.	Agency
1	72	5	Sources of discrepancies between global and national figures	"Sources of discrepancies: 

Do not apply"	https://unstats.un.org/sdgs/metadata/
1	72	6	Process of obtaining data	"Description: 

Most data on time use are collected through dedicated time use surveys or from time-use modules integrated in multi-purpose household surveys, conducted at national level.

Data on time-use can be collected through a 24-hour diary (light diary) or stylized questionnaire. With diaries, respondents are asked to report on what activity they were performing when they started the day, what activity followed, and the time that activity began and ended (in most of the cases based on fixed intervals), and so forth through the 24 hours of the day. Stylized time-use questions ask respondents to recall the amount of time they allocated to a certain activity over a specified period, such as a day or a week. Often, stylized time-use questions are attached as a module to a multipurpose household survey. The 24-hour diary method yields better results than the stylized method but is a more expensive mode of data collection.

  Collection process: 

The official counterparts at the country level are the national statistical offices. Data are compiled and validated. If there are inconsistencies or issues with the data, UNSD consults the focal point in the national statistical office. The data for this indicator are, as much as possible, in line with relevant international standards, or properly footnoted. International standards include:

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization

*   Guide to Producing Statistics on Time-Use: Measuring Paid und Unpaid Work
*   The International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)
*   System of National Accounts 2008 (SNA 2008)
*   Resolution concerning statistics of work, employment and labour underutilization"	https://unstats.un.org/sdgs/metadata/
1	72	7	Treatment of missing values	"Treatment of missing values: At country level: 

UNSD does not produce estimates for missing values"	https://unstats.un.org/sdgs/metadata/
1	72	8	Data availability and assessment of countries’ capacity		https://unstats.un.org/sdgs/metadata/
1	72	9	Expected time of release	"Data collection: 

Once national time use data become available, they are added to the UNSD database. 

  Data release: 

June 2019"	https://unstats.un.org/sdgs/metadata/
1	87	1	Contact point in international agency	"Organization(s): 

UN Statistics Division (UNSD)"	https://unstats.un.org/sdgs/metadata/
