INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	main_statistics_field
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F___T___T	Female, all age ranges or no breakdown by age, all areas	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE05___T	Female, 5 years old and over, all areas	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE06___T	Female, 6 years old and over, all areas	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE10___T	Female, 10 years old and over, all areas	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE10__R	Female, 10 years old and over, rural	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE10__U	Female, 10 years old and over, urban	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE12___T	Female, 12 years old and over, all areas	100	1
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE12__R	Female, 12 years old and over, rural	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE12__U	Female, 12 years old and over, urban	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE14___T	Female, 14 years old and over, all areas	100	
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S997d1fdb	Average number of hours spent on domestic chores and care work, by sex, age and location	SEX__AGE__URBANIZATION	F__Y_GE15___T	Female, 15 years old and over, all areas	100	
