REF_AREA,REF_AREA_DESC,ISO3,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,TIME_PERIOD,INDICATOR_LABEL_100,INDICATOR_ID_100,INDICATOR_DESC_100,MINSET_SERIES_100,MINSET_SERIES_DESC_100,X,Y,OBS_VALUE__100__F__Y_GE10___T,OBS_VALUE__100__M__Y_GE10___T,OBS_VALUE__100__F__Y_GE65___T,OBS_VALUE__100__M__Y_GE65___T,OBS_VALUE__100__F__Y_GE10__R,OBS_VALUE__100__M__Y_GE10__R,OBS_VALUE__100__F__Y_GE65__R,OBS_VALUE__100__M__Y_GE65__R,OBS_VALUE__100__F__Y_GE10__U,OBS_VALUE__100__M__Y_GE10__U,OBS_VALUE__100__F__Y_GE65__U,OBS_VALUE__100__M__Y_GE65__U,OBS_VALUE__100__F__Y_GE12___T,OBS_VALUE__100__M__Y_GE12___T,OBS_VALUE__100__F__Y15T24___T,OBS_VALUE__100__M__Y15T24___T,OBS_VALUE__100__F__Y_GE12__R,OBS_VALUE__100__M__Y_GE12__R,OBS_VALUE__100__F__Y_GE12__U,OBS_VALUE__100__M__Y_GE12__U,OBS_VALUE__100__F__Y_GE15___T,OBS_VALUE__100__M__Y_GE15___T,OBS_VALUE__100__F__Y25T44___T,OBS_VALUE__100__M__Y25T44___T,OBS_VALUE__100__F__Y45T54___T,OBS_VALUE__100__M__Y45T54___T,OBS_VALUE__100__F__Y55T64___T,OBS_VALUE__100__M__Y55T64___T,OBS_VALUE__100__F__Y_GE15__R,OBS_VALUE__100__M__Y_GE15__R,OBS_VALUE__100__F__Y15T24__R,OBS_VALUE__100__M__Y15T24__R,OBS_VALUE__100__F__Y25T44__R,OBS_VALUE__100__M__Y25T44__R,OBS_VALUE__100__F__Y45T54__R,OBS_VALUE__100__M__Y45T54__R,OBS_VALUE__100__F__Y55T64__R,OBS_VALUE__100__M__Y55T64__R,OBS_VALUE__100__F__Y_GE15__U,OBS_VALUE__100__M__Y_GE15__U,OBS_VALUE__100__F__Y15T24__U,OBS_VALUE__100__M__Y15T24__U,OBS_VALUE__100__F__Y25T44__U,OBS_VALUE__100__M__Y25T44__U,OBS_VALUE__100__F__Y45T54__U,OBS_VALUE__100__M__Y45T54__U,OBS_VALUE__100__F__Y55T64__U,OBS_VALUE__100__M__Y55T64__U,OBS_VALUE__100__F___T___T,OBS_VALUE__100__M___T___T,OBS_VALUE__100__F__Y20T74___T,OBS_VALUE__100__M__Y20T74___T,OBS_VALUE__100__F__Y15T64___T,OBS_VALUE__100__M__Y15T64___T,OBS_VALUE__100__F__Y12T24___T,OBS_VALUE__100__M__Y12T24___T,OBS_VALUE__100__F__Y25T34___T,OBS_VALUE__100__M__Y25T34___T,OBS_VALUE__100__F__Y35T44___T,OBS_VALUE__100__M__Y35T44___T,OBS_VALUE__100__F__Y65T74___T,OBS_VALUE__100__M__Y65T74___T,OBS_VALUE__100__F__Y75T84___T,OBS_VALUE__100__M__Y75T84___T,OBS_VALUE__100__F__Y_GE85___T,OBS_VALUE__100__M__Y_GE85___T,OBS_VALUE__100__F__Y_GE16___T,OBS_VALUE__100__M__Y_GE16___T,OBS_VALUE__100__F__Y45T64___T,OBS_VALUE__100__M__Y45T64___T,OBS_VALUE__100__F__Y_GE18___T,OBS_VALUE__100__M__Y_GE18___T,OBS_VALUE__100__F__Y06T65__R,OBS_VALUE__100__M__Y06T65__R,OBS_VALUE__100__F__Y06T65__U,OBS_VALUE__100__M__Y06T65__U,OBS_VALUE__100__F__Y15T49__R,OBS_VALUE__100__M__Y15T49__R,OBS_VALUE__100__F__Y15T49__U,OBS_VALUE__100__M__Y15T49__U,OBS_VALUE__100__F__Y12T14___T,OBS_VALUE__100__M__Y12T14___T,OBS_VALUE__100__F__Y12T14__R,OBS_VALUE__100__M__Y12T14__R,OBS_VALUE__100__F__Y12T14__U,OBS_VALUE__100__M__Y12T14__U,OBS_VALUE__100__F__Y10T14___T,OBS_VALUE__100__M__Y10T14___T,OBS_VALUE__100__F__Y45T64__R,OBS_VALUE__100__M__Y45T64__R,OBS_VALUE__100__F__Y45T64__U,OBS_VALUE__100__M__Y45T64__U,OBS_VALUE__100__F__Y_GE20___T,OBS_VALUE__100__M__Y_GE20___T,OBS_VALUE__100__F__Y20T24___T,OBS_VALUE__100__M__Y20T24___T,OBS_VALUE__100__F__Y20T64___T,OBS_VALUE__100__M__Y20T64___T,OBS_VALUE__100__F__Y_GE06___T,OBS_VALUE__100__M__Y_GE06___T,OBS_VALUE__100__F__Y_GE05___T,OBS_VALUE__100__M__Y_GE05___T,OBS_VALUE__100__F__Y_GE14___T,OBS_VALUE__100__M__Y_GE14___T,OBS_VALUE__400__F__Y_GE15__R,OBS_VALUE__400__M__Y_GE15__R,OBS_VALUE__400__F__Y_GE10__R,OBS_VALUE__400__M__Y_GE10__R,OBS_VALUE__400__F__Y_GE65__R,OBS_VALUE__400__M__Y_GE65__R,OBS_VALUE__400__F__Y15T24__R,OBS_VALUE__400__M__Y15T24__R,OBS_VALUE__400__F__Y25T44__R,OBS_VALUE__400__M__Y25T44__R,OBS_VALUE__400__F__Y45T54__R,OBS_VALUE__400__M__Y45T54__R,OBS_VALUE__400__F__Y55T64__R,OBS_VALUE__400__M__Y55T64__R,OBS_VALUE__400__F__Y15T49__R,OBS_VALUE__400__M__Y15T49__R,OBS_VALUE__400__F___T__R,OBS_VALUE__400__M___T__R,OBS_VALUE__400__F__Y_GE12__R,OBS_VALUE__400__M__Y_GE12__R,OBS_VALUE__400__F__Y_GE15__U,OBS_VALUE__400__M__Y_GE15__U,OBS_VALUE__400__F__Y_GE10__U,OBS_VALUE__400__M__Y_GE10__U,OBS_VALUE__400__F__Y_GE65__U,OBS_VALUE__400__M__Y_GE65__U,OBS_VALUE__400__F__Y15T24__U,OBS_VALUE__400__M__Y15T24__U,OBS_VALUE__400__F__Y25T44__U,OBS_VALUE__400__M__Y25T44__U,OBS_VALUE__400__F__Y45T54__U,OBS_VALUE__400__M__Y45T54__U,OBS_VALUE__400__F__Y55T64__U,OBS_VALUE__400__M__Y55T64__U,OBS_VALUE__400__F__Y15T49__U,OBS_VALUE__400__M__Y15T49__U,OBS_VALUE__400__F___T__U,OBS_VALUE__400__M___T__U,OBS_VALUE__400__F__Y_GE12__U,OBS_VALUE__400__M__Y_GE12__U,OBS_VALUE__400__F__Y_GE15___T,OBS_VALUE__400__M__Y_GE15___T,OBS_VALUE__400__F__Y20T74___T,OBS_VALUE__400__M__Y20T74___T,OBS_VALUE__400__F__Y_GE10___T,OBS_VALUE__400__M__Y_GE10___T,OBS_VALUE__400__F__Y_GE65___T,OBS_VALUE__400__M__Y_GE65___T,OBS_VALUE__400__F__Y_GE12___T,OBS_VALUE__400__M__Y_GE12___T,OBS_VALUE__400__F__Y15T24___T,OBS_VALUE__400__M__Y15T24___T,OBS_VALUE__400__F__Y25T44___T,OBS_VALUE__400__M__Y25T44___T,OBS_VALUE__400__F__Y45T54___T,OBS_VALUE__400__M__Y45T54___T,OBS_VALUE__400__F__Y55T64___T,OBS_VALUE__400__M__Y55T64___T,OBS_VALUE__400__F__Y_GE18___T,OBS_VALUE__400__M__Y_GE18___T,OBS_VALUE__400__F__Y_GE05___T,OBS_VALUE__400__M__Y_GE05___T,OBS_VALUE__400__F__Y15T64___T,OBS_VALUE__400__M__Y15T64___T,OBS_VALUE__400__F___T___T,OBS_VALUE__400__M___T___T,OBS_VALUE__400__F__Y_GE14___T,OBS_VALUE__400__M__Y_GE14___T,OBS_VALUE__400__F__Y20T64___T,OBS_VALUE__400__M__Y20T64___T,OBS_VALUE__400__F__Y_GE16___T,OBS_VALUE__400__M__Y_GE16___T,OBS_VALUE__400__F__Y45T64___T,OBS_VALUE__400__M__Y45T64___T,OBS_VALUE__400__F__Y_GE06___T,OBS_VALUE__400__M__Y_GE06___T
100,Bulgaria,BGR,Europe and Northern America,G,Global,2002,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",25.23763153,42.75731323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0166672,2.6166672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,BGR,Europe and Northern America,G,Global,2010,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",25.23763153,42.75731323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4333328,2.2166664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,BLR,Europe and Northern America,G,Global,2015,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",28.04940161,53.54193075,4.6000008,2.2833336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Cambodia,KHM,Eastern and South-Eastern Asia,G,Global,2004,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",104.922836,12.71163737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,6.6,,,,,,,,,,,,
12,Algeria,DZA,Northern Africa and Western Asia,G,Global,2012,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",2.678164227,28.15940032,,,,,,,,,,,,,5.200000800000001,0.9,6.799999199999999,0.9,5.5000008000000005,0.7999992,4.9999992,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,CMR,Sub-Saharan Africa,G,Global,2014,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",12.7419827,5.692387031,3.4921632,1.1358648,2.7044928,1.0312992,3.3897168,1.125528,2.6150256,1.0814472000000002,3.6411767999999993,1.1496552,3.0759768000000003,0.8418432,,,3.4494912,1.092576,,,,,3.7970064,1.0962816000000002,4.4203872,1.114668,3.371244,1.2248088,3.2465832,0.8898048,3.6548784,1.0557744,3.5929512,1.0808688,4.143225599999999,1.0407024,3.2242368,1.1588832,3.2590968,0.8758944,3.9978936,1.1458536,3.2739960000000004,1.106268,4.7591016,1.1861472,3.6436608,1.3248336,3.2221008,0.9176784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,6.92,7.4,6.1,6.69,6.1,6.74,4.95,8.97,8.31,9.8,7.96,8.69,7.96,,,,,,,7.05,6.57,6.31,5.85,5.06,4.46,4.88,4.16,8.62,8.2,8.08,8.45,6.83,5.67,,,,,,,7.7,6.76,,,6.95,6.0,6.37,5.76,,,5.9,4.58,8.81,8.25,9.2,8.16,8.06,7.2,,,,,,,,,,,,,,,,,,
124,Canada,CAN,Europe and Northern America,G,Global,2005,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-101.6575058,57.72360191,,,,,,,,,,,,,,,,,,,,,3.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Canada,CAN,Europe and Northern America,G,Global,2010,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-101.6575058,57.72360191,,,,,,,,,,,,,,,,,,,,,3.9,2.5000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Canada,CAN,Europe and Northern America,G,Global,2016,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-101.6575058,57.72360191,,,3.7999992,3.0,,,4.0999992,3.6,,,3.7999992,2.8999992,,,1.5,1.0000008,,,,,3.4999991999999995,2.2999992,3.9,2.2999992,3.4999991999999995,2.5999992,3.7000008,2.7,3.9,2.8000008000000003,1.5,1.3999992,4.6000008,2.7,4.0000008000000005,2.8000008000000003,4.0000008000000005,3.1000008,3.4000008000000004,2.2999992,1.6000008,1.0000008,3.7999992,2.2000008,3.4000008000000004,2.5999992,3.6,2.5999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Chile,CHL,Latin America and the Caribbean,G,Global,2008,I.1,I98ba1fd8,"Average number of hours spent on unpaid domestic and care work, by sex, age and location",S997d1fdb,"Average number of hours spent on domestic chores and care work, by sex, age and location",-71.23029019,-35.2652885,,,3.5342688,1.3716168,,,,,,,,,,,2.2637136,1.0239528,,,,,3.82248,1.2159456,4.779424799999999,1.3266144,4.069272000000001,1.4460336,4.5809952,1.0278552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
