INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,TIME_PERIOD,VALUE_CATEGORY_DESC,TIME_DETAIL,NATURE,COMMENT_OBS,isLatestValue
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,2006,"Ratified, in force",2006-04-03 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,1994,"Ratified, in force",1994-10-14 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,191,Croatia,HRV,17.95874553,45.45172212,Europe and Northern America,G,Global,2019,1991,"Ratified, in force",1991-10-08 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,218,Ecuador,ECU,-78.37005241,-1.447785891,Latin America and the Caribbean,G,Global,2019,2013,"Ratified, in force",2013-02-08 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,222,El Salvador,SLV,-88.86862995,13.73603564,Latin America and the Caribbean,G,Global,2019,2000,"Ratified, in force",2000-10-12 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,231,Ethiopia,ETH,39.63505296,8.631223181,Sub-Saharan Africa,G,Global,2019,1991,"Ratified, in force",1991-01-28 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,G,Global,2019,1983,"Ratified, in force",1983-02-09 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2019,1989,"Ratified, in force",1989-03-16 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,300,Greece,GRC,22.58307827,39.47301873,Europe and Northern America,G,Global,2019,1988,"Ratified, in force",1988-06-10 00:00:00,C,,True
QI.2,Ia18d1dbf,Extent of country commitment to support reconciliation of work and family life,Sedf11ece,Whether or not ratified ILO convention 156 on workers with familiy responsibilities,31,Azerbaijan,AZE,50.01064725,40.39229544,Northern Africa and Western Asia,G,Global,2019,2010,"Ratified, in force",2010-10-29 00:00:00,C,,True
