INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__Y_GE25__AGG_5T8,OBS_VALUE__F__Y_GE25__AGG_5T8,OBS_VALUE__M__Y_GE25__AGG_5T8,NATURE___T__Y_GE25__AGG_5T8,NATURE__F__Y_GE25__AGG_5T8,NATURE__M__Y_GE25__AGG_5T8,isLatestValue___T__Y_GE25__AGG_5T8,isLatestValue__F__Y_GE25__AGG_5T8,isLatestValue__M__Y_GE25__AGG_5T8
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2001,0.5,17.93,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2006,0.8,17.36,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2007,0.8,96.88,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2008,0.1,97.52,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2009,8.43,97.78,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2010,1.4,63.16,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2011,5.2,71.65,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2012,22.8,96.69,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2013,17.0,96.92,100.0,C,C,C,False,False,False
II.12,229b17ac,Educational attainment of the population aged 25 and older by sex,56e81ed9,"Educational attainment (minimum tertiary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2014,5.11,96.93,100.0,C,C,C,False,False,False
