INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE,TIME_DETAIL,NATURE,COMMENT_OBS,isLatestValue
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,1,World,,,,,G,Global,2021,PT,Percent,2003,63.8,2000-2006,E,,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,1,World,,,,,G,Global,2021,PT,Percent,2010,71.0,2007-2013,E,,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,1,World,,,,,G,Global,2021,PT,Percent,2017,82.6,2014-2020,E,,True
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2000,99.8,2000,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2001,98.9,2001,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2002,99.2,2002,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2003,99.2,2003,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2004,99.4,2004,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2005,99.4,2005,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2006,99.4,2006,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2007,99.6,2007,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2008,99.6,2008,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2009,99.6,2009,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2010,99.5,2010,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2013,99.7,2013,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2014,99.7,2014,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2015,99.8,2015,C,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",True
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2001,57.0,2001,C,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2007,63.9,2007,C,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2010,70.6,2009-2010,C,Definition includes other cadres that is not in alignment with the standard definition,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2016,60.2,2015-2016,C,Definition includes other cadres that is not in alignment with the standard definition,True
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2000,25.2,2000,C,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2005,31.8,2005,C,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2010,60.3,2010,C,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2012,78.4,2012,C,Definition includes other cadres that is not in alignment with the standard definition,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2017,85.1,2016-2017,C,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",True
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2000,99.9,2000,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2001,99.9,2001,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2002,99.9,2002,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2003,99.9,2003,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2004,99.9,2004,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2005,100.0,2005,C,Definition includes other cadres that is not in alignment with the standard definition,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2006,99.9,2006,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2007,99.9,2007,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2008,99.9,2008,C,No / unclear definition of the cadres included,False
III.5,I784515d6,Proportion of births attended by skilled health personnel,S784515d6,Proportion of births attended by skilled health personnel,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2009,99.9,2009,C,No / unclear definition of the cadres included,False
