INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y15T49,OBS_VALUE__F__Y15T19,TIME_DETAIL__F__Y15T49,TIME_DETAIL__F__Y15T19,NATURE__F__Y15T49,NATURE__F__Y15T19,COMMENT_OBS__F__Y15T49,COMMENT_OBS__F__Y15T19,isLatestValue__F__Y15T49,isLatestValue__F__Y15T19
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2021,PT,Percent,2004,1.4,,2004,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2021,PT,Percent,2019,21.6,,2018-2019,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2021,PT,Percent,2019,34.1,,2019,,C,,,,True,
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2000,,93.1,,2000,,E,,Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2005,,91.4,,2005,,E,,Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2010,,88.7,,2010,,E,,Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2015,,83.0,,2015,,E,,Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2020,,74.0,,2020,,E,,Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years,,True
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2021,PT,Percent,2000,,35.2,,2000,,E,,Based on 25 countries covering 69 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
V.3,I241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",S241a26cf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",202,Sub-Saharan Africa,,,,Sub-Saharan Africa,G,Global,2021,PT,Percent,2005,,34.5,,2005,,E,,Based on 25 countries covering 69 per cent of the regional population of adolescent girls aged 15 to 19 years,,False
