INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F,NATURE__F,isLatestValue__F
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2015,67,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2016,67,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2017,67,C,True
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,2015,58,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,2016,58,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,2017,58,C,True
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2006,35,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2007,36,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2008,37,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2009,38,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2010,39,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2011,40,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2012,40,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2013,45,C,False
IV.5,5aac0815,Share of female judges,5aac0815,Share of female judges,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2014,42,C,False
