INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F,NATURE__F,isLatestValue__F
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,1997,75.8,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2001,75.6,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2007,79.8,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2010,83.1,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2016,80.7,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2000,78.0,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2005,92.4,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2010,98.9,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2012,96.0,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2017,99.2,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,1999,99.9,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,2005,99.4,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,2012,99.7,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,1998,34.3,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2000,37.7,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2005,69.3,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2010,89.1,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2014,95.3,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2000,79.0,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2002,80.7,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2006,89.4,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2013,92.7,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,1998,78.8,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2000,75.3,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2004,83.3,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2006,82.0,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2011,84.7,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,82.8,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2007,100.0,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,1998,99.3,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2005,97.6,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,PT,Percent,1995,66.9,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,PT,Percent,2000,62.0,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,PT,Percent,2006,69.3,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,PT,Percent,2010,68.2,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,PT,Percent,2000,94.5,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,PT,Percent,2007,99.4,C,False
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,PT,Percent,2014,95.5,C,True
III.4,682508c0,Antenatal care coverage,5b5c0fcb,"Antenatal care coverage, at least one visit",148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2019,PT,Percent,1997,23.4,C,False
