INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__ISCED11_2___T__Q3,OBS_VALUE___T__ISCED11_2___T__Q2,OBS_VALUE___T__ISCED11_2___T__Q1,OBS_VALUE___T__ISCED11_2___T__Q4,OBS_VALUE___T__ISCED11_2___T__Q5,OBS_VALUE___T__ISCED11_2___T___T,OBS_VALUE__F__ISCED11_2___T___T,OBS_VALUE__F__ISCED11_2___T__Q3,OBS_VALUE__F__ISCED11_2___T__Q5,OBS_VALUE__F__ISCED11_2___T__Q4,OBS_VALUE__F__ISCED11_2___T__Q2,OBS_VALUE__F__ISCED11_2___T__Q1,OBS_VALUE__M__ISCED11_2___T__Q1,OBS_VALUE__M__ISCED11_2___T___T,OBS_VALUE__M__ISCED11_2___T__Q2,OBS_VALUE__M__ISCED11_2___T__Q4,OBS_VALUE__M__ISCED11_2___T__Q3,OBS_VALUE__M__ISCED11_2___T__Q5,OBS_VALUE___T__ISCED11_2__R__Q5,OBS_VALUE___T__ISCED11_2__R___T,OBS_VALUE___T__ISCED11_2__R__Q3,OBS_VALUE___T__ISCED11_2__R__Q2,OBS_VALUE___T__ISCED11_2__R__Q1,OBS_VALUE___T__ISCED11_2__R__Q4,OBS_VALUE__F__ISCED11_2__R__Q3,OBS_VALUE__F__ISCED11_2__R__Q1,OBS_VALUE__F__ISCED11_2__R__Q2,OBS_VALUE__F__ISCED11_2__R__Q4,OBS_VALUE__F__ISCED11_2__R___T,OBS_VALUE__F__ISCED11_2__R__Q5,OBS_VALUE__M__ISCED11_2__R__Q3,OBS_VALUE__M__ISCED11_2__R__Q2,OBS_VALUE__M__ISCED11_2__R__Q5,OBS_VALUE__M__ISCED11_2__R___T,OBS_VALUE__M__ISCED11_2__R__Q1,OBS_VALUE__M__ISCED11_2__R__Q4,OBS_VALUE___T__ISCED11_2__U__Q3,OBS_VALUE___T__ISCED11_2__U__Q4,OBS_VALUE___T__ISCED11_2__U___T,OBS_VALUE___T__ISCED11_2__U__Q5,OBS_VALUE___T__ISCED11_2__U__Q2,OBS_VALUE___T__ISCED11_2__U__Q1,OBS_VALUE__F__ISCED11_2__U___T,OBS_VALUE__F__ISCED11_2__U__Q4,OBS_VALUE__F__ISCED11_2__U__Q5,OBS_VALUE__F__ISCED11_2__U__Q3,OBS_VALUE__F__ISCED11_2__U__Q2,OBS_VALUE__F__ISCED11_2__U__Q1,OBS_VALUE__M__ISCED11_2__U__Q3,OBS_VALUE__M__ISCED11_2__U___T,OBS_VALUE__M__ISCED11_2__U__Q4,OBS_VALUE__M__ISCED11_2__U__Q5,OBS_VALUE__M__ISCED11_2__U__Q1,OBS_VALUE__M__ISCED11_2__U__Q2,NATURE___T__ISCED11_2___T__Q3,NATURE___T__ISCED11_2___T__Q2,NATURE___T__ISCED11_2___T__Q1,NATURE___T__ISCED11_2___T__Q4,NATURE___T__ISCED11_2___T__Q5,NATURE___T__ISCED11_2___T___T,NATURE__F__ISCED11_2___T___T,NATURE__F__ISCED11_2___T__Q3,NATURE__F__ISCED11_2___T__Q5,NATURE__F__ISCED11_2___T__Q4,NATURE__F__ISCED11_2___T__Q2,NATURE__F__ISCED11_2___T__Q1,NATURE__M__ISCED11_2___T__Q1,NATURE__M__ISCED11_2___T___T,NATURE__M__ISCED11_2___T__Q2,NATURE__M__ISCED11_2___T__Q4,NATURE__M__ISCED11_2___T__Q3,NATURE__M__ISCED11_2___T__Q5,NATURE___T__ISCED11_2__R__Q5,NATURE___T__ISCED11_2__R___T,NATURE___T__ISCED11_2__R__Q3,NATURE___T__ISCED11_2__R__Q2,NATURE___T__ISCED11_2__R__Q1,NATURE___T__ISCED11_2__R__Q4,NATURE__F__ISCED11_2__R__Q3,NATURE__F__ISCED11_2__R__Q1,NATURE__F__ISCED11_2__R__Q2,NATURE__F__ISCED11_2__R__Q4,NATURE__F__ISCED11_2__R___T,NATURE__F__ISCED11_2__R__Q5,NATURE__M__ISCED11_2__R__Q3,NATURE__M__ISCED11_2__R__Q2,NATURE__M__ISCED11_2__R__Q5,NATURE__M__ISCED11_2__R___T,NATURE__M__ISCED11_2__R__Q1,NATURE__M__ISCED11_2__R__Q4,NATURE___T__ISCED11_2__U__Q3,NATURE___T__ISCED11_2__U__Q4,NATURE___T__ISCED11_2__U___T,NATURE___T__ISCED11_2__U__Q5,NATURE___T__ISCED11_2__U__Q2,NATURE___T__ISCED11_2__U__Q1,NATURE__F__ISCED11_2__U___T,NATURE__F__ISCED11_2__U__Q4,NATURE__F__ISCED11_2__U__Q5,NATURE__F__ISCED11_2__U__Q3,NATURE__F__ISCED11_2__U__Q2,NATURE__F__ISCED11_2__U__Q1,NATURE__M__ISCED11_2__U__Q3,NATURE__M__ISCED11_2__U___T,NATURE__M__ISCED11_2__U__Q4,NATURE__M__ISCED11_2__U__Q5,NATURE__M__ISCED11_2__U__Q1,NATURE__M__ISCED11_2__U__Q2,isLatestValue___T__ISCED11_2___T__Q3,isLatestValue___T__ISCED11_2___T__Q2,isLatestValue___T__ISCED11_2___T__Q1,isLatestValue___T__ISCED11_2___T__Q4,isLatestValue___T__ISCED11_2___T__Q5,isLatestValue___T__ISCED11_2___T___T,isLatestValue__F__ISCED11_2___T___T,isLatestValue__F__ISCED11_2___T__Q3,isLatestValue__F__ISCED11_2___T__Q5,isLatestValue__F__ISCED11_2___T__Q4,isLatestValue__F__ISCED11_2___T__Q2,isLatestValue__F__ISCED11_2___T__Q1,isLatestValue__M__ISCED11_2___T__Q1,isLatestValue__M__ISCED11_2___T___T,isLatestValue__M__ISCED11_2___T__Q2,isLatestValue__M__ISCED11_2___T__Q4,isLatestValue__M__ISCED11_2___T__Q3,isLatestValue__M__ISCED11_2___T__Q5,isLatestValue___T__ISCED11_2__R__Q5,isLatestValue___T__ISCED11_2__R___T,isLatestValue___T__ISCED11_2__R__Q3,isLatestValue___T__ISCED11_2__R__Q2,isLatestValue___T__ISCED11_2__R__Q1,isLatestValue___T__ISCED11_2__R__Q4,isLatestValue__F__ISCED11_2__R__Q3,isLatestValue__F__ISCED11_2__R__Q1,isLatestValue__F__ISCED11_2__R__Q2,isLatestValue__F__ISCED11_2__R__Q4,isLatestValue__F__ISCED11_2__R___T,isLatestValue__F__ISCED11_2__R__Q5,isLatestValue__M__ISCED11_2__R__Q3,isLatestValue__M__ISCED11_2__R__Q2,isLatestValue__M__ISCED11_2__R__Q5,isLatestValue__M__ISCED11_2__R___T,isLatestValue__M__ISCED11_2__R__Q1,isLatestValue__M__ISCED11_2__R__Q4,isLatestValue___T__ISCED11_2__U__Q3,isLatestValue___T__ISCED11_2__U__Q4,isLatestValue___T__ISCED11_2__U___T,isLatestValue___T__ISCED11_2__U__Q5,isLatestValue___T__ISCED11_2__U__Q2,isLatestValue___T__ISCED11_2__U__Q1,isLatestValue__F__ISCED11_2__U___T,isLatestValue__F__ISCED11_2__U__Q4,isLatestValue__F__ISCED11_2__U__Q5,isLatestValue__F__ISCED11_2__U__Q3,isLatestValue__F__ISCED11_2__U__Q2,isLatestValue__F__ISCED11_2__U__Q1,isLatestValue__M__ISCED11_2__U__Q3,isLatestValue__M__ISCED11_2__U___T,isLatestValue__M__ISCED11_2__U__Q4,isLatestValue__M__ISCED11_2__U__Q5,isLatestValue__M__ISCED11_2__U__Q1,isLatestValue__M__ISCED11_2__U__Q2
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2000,,,,,,58.7,56.3,,,,,,,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2001,,,,,,59.8,57.6,,,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2002,,,,,,60.9,58.9,,,,,,,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2003,,,,,,62.0,60.2,,,,,,,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2004,,,,,,63.2,61.6,,,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2005,,,,,,64.4,63.1,,,,,,,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2006,,,,,,65.6,64.6,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2007,,,,,,66.7,65.9,,,,,,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2008,,,,,,67.6,67.1,,,,,,,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2009,,,,,,68.4,68.2,,,,,,,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2010,,,,,,69.2,69.2,,,,,,,69.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2011,,,,,,69.9,70.1,,,,,,,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2012,,,,,,70.6,71.0,,,,,,,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2013,,,,,,71.1,71.8,,,,,,,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2014,,,,,,71.7,72.5,,,,,,,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,I66c21045,Completion rate (lower secondary education),Sa7501ddf,"Completion rate, by sex, location and wealth quintile, lower secondary education",1,World,,,,,G,Global,2021,PT,Percent,2015,,,,,,72.2,73.2,,,,,,,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
