INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T,OBS_VALUE__F,OBS_VALUE__M,TIME_DETAIL___T,TIME_DETAIL__F,TIME_DETAIL__M,NATURE___T,NATURE__F,NATURE__M,COMMENT_OBS___T,COMMENT_OBS__F,COMMENT_OBS__M,isLatestValue___T,isLatestValue__F,isLatestValue__M
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2017,62.29,57.44,68.0,2017,2017,2017,C,C,C,,,,True,True,True
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,11.43,7.27,16.03,2014,2014,2014,C,C,C,,,,False,False,False
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2017,18.38,11.87,25.34,2017,2017,2017,C,C,C,,,,True,True,True
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2017,93.49,94.99,91.48,2017,2017,2017,C,C,C,,,,False,False,False
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2018,94.84,95.7,93.69,2018,2018,2018,C,C,C,,,,False,False,False
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2019,95.26,96.26,93.95,2019,2019,2019,C,C,C,,,,True,True,True
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2017,26.32,26.9,25.72,2017,2017,2017,C,C,C,,,,False,False,False
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2018,32.68,33.08,32.26,2018,2018,2018,C,C,C,,,,True,True,True
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2018,87.88,83.07,92.62,2018,2018,2018,C,C,C,,,,True,True,True
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,75.37,,,2014,,,C,,,,,,True,,
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2021,PT,Percent,2015,71.04,68.46,74.1,2015,2015,2015,C,C,C,,,,False,False,False
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2021,PT,Percent,2016,72.39,71.19,73.61,2016,2016,2016,C,C,C,,,,False,False,False
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2021,PT,Percent,2017,74.21,73.75,74.66,2017,2017,2017,C,C,C,,,,False,False,False
I.18,Ib8e91664,"Proportion of individuals who own a mobile telephone, by sex",Sb8e91664,"Proportion of individuals who own a mobile telephone, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2021,PT,Percent,2019,71.68,70.83,72.53,2019,2019,2019,C,C,C,,,,True,True,True
