INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__AGG_4T8,OBS_VALUE__F__AGG_4T8,OBS_VALUE__M__AGG_4T8,NATURE___T__AGG_4T8,NATURE__F__AGG_4T8,NATURE__M__AGG_4T8,isLatestValue___T__AGG_4T8,isLatestValue__F__AGG_4T8,isLatestValue__M__AGG_4T8
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,1992,15.03913,15.18765,14.87875,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2001,18.04557,19.4697,16.47987,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2006,19.50465,21.97226,16.77098,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2007,19.81607,22.2241,17.14447,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2008,20.18866,22.60105,17.50939,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2009,20.53099,23.18179,17.58469,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2010,20.71765,23.63328,17.47617,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2011,20.80996,23.6131,17.69292,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2012,21.51112,24.60257,18.12347,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2013,22.91971,26.22396,19.29771,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2014,24.06306,27.63025,20.15373,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2015,24.47098,28.19088,20.38969,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2016,24.62815,28.33035,20.56251,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2017,24.71288,28.47521,20.57752,C,C,C,True,True,True
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,1990,0.59623,0.2018,1.03934,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,1.3528,0.7658,2.02304,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2017,1.63555,1.05278,2.29002,C,C,C,True,True,True
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2009,63.37622,63.47038,63.25836,C,C,C,True,True,True
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2007,1.83187,0.9789,2.84139,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2008,1.85405,0.91437,2.96554,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2009,2.04204,0.96275,3.32505,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2014,5.92988,3.57566,9.13811,C,C,C,False,False,False
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2015,5.83211,2.71598,9.92219,C,C,C,True,True,True
II.11,I229b17ac,Educational attainment of the population aged 25 and older by sex,S216a2120,"Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex",12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2008,8.03136,7.39357,8.66333,C,C,C,True,True,True
