INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__M,OBS_VALUE__F,OBS_VALUE___T,NATURE__M,NATURE__F,NATURE___T,COMMENT_OBS__M,COMMENT_OBS__F,COMMENT_OBS___T,isLatestValue__M,isLatestValue__F,isLatestValue___T
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,16.03,7.27,11.43,C,C,C,,,,True,True,True
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,2017,91.48,94.99,93.49,C,C,C,,,,True,True,True
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,,,75.37,,,C,,,,,,True
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2015,74.1,68.46,71.04,C,C,C,,,,False,False,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2016,73.61,71.19,72.39,C,C,C,,,,False,False,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2017,74.66,73.75,74.21,C,C,C,,,,True,True,True
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2016,91.56,98.82,95.32,C,C,C,,,,False,False,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2017,86.67,97.15,92.01,C,C,C,,,,True,True,True
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2014,68.03,70.57,69.32,C,C,C,,,,False,False,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2015,70.08,72.82,71.47,C,C,C,,,,False,False,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2016,70.98,73.1,72.06,C,C,C,,,,False,False,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2017,71.81,74.46,73.15,C,C,C,,,,True,True,True
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2019,PT,Percent,2015,85.8,86.23,86.02,C,C,C,,,,False,False,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",188,Costa Rica,CRI,-84.19712782,9.970998683,Latin America and the Caribbean,G,Global,2019,PT,Percent,2016,87.33,87.1,87.21,C,C,C,,,,True,True,True
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",192,Cuba,CUB,-79.54460144,22.10030366,Latin America and the Caribbean,G,Global,2019,PT,Percent,2014,,,24.13,,,C,,,,,,False
I.18,b8e91664,"Proportion of individuals who own a mobile telephone, by sex",b8e91664,"Proportion of individuals who own a mobile telephone, by sex",192,Cuba,CUB,-79.54460144,22.10030366,Latin America and the Caribbean,G,Global,2019,PT,Percent,2015,,,31.92,,,C,,,,,,False
