INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__Y_GE15,OBS_VALUE__F__Y_GE15,OBS_VALUE__M__Y_GE15,OBS_VALUE___O__Y_GE15,NATURE___T__Y_GE15,NATURE__F__Y_GE15,NATURE__M__Y_GE15,NATURE___O__Y_GE15,COMMENT_OBS___T__Y_GE15,COMMENT_OBS__F__Y_GE15,COMMENT_OBS__M__Y_GE15,COMMENT_OBS___O__Y_GE15,isLatestValue___T__Y_GE15,isLatestValue__F__Y_GE15,isLatestValue__M__Y_GE15,isLatestValue___O__Y_GE15
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,1992,57.17,53.82,60.7,,C,C,C,,Age coverage - minimum age: 10 years old,Age coverage - minimum age: 10 years old,Age coverage - minimum age: 10 years old,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,1997,51.8,46.9,56.9,,C,C,C,,,,,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2000,50.18,44.66,56.21,,C,C,C,,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2001,51.37,46.44,56.73,,C,C,C,,Break in series; ; Break in series: Methodology revised; Repository: Eurostat special tabulation,Break in series; ; Break in series: Methodology revised; Repository: Eurostat special tabulation,Break in series; ; Break in series: Methodology revised; Repository: Eurostat special tabulation,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2002,50.82,46.04,56.0,,C,C,C,,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2003,49.92,44.78,55.5,,C,C,C,,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2004,50.55,45.44,56.09,,C,C,C,,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2005,49.69,44.4,55.42,,C,C,C,,Break in series; ; Break in series: Methodology revised; Repository: Eurostat special tabulation,Break in series; ; Break in series: Methodology revised; Repository: Eurostat special tabulation,Break in series; ; Break in series: Methodology revised; Repository: Eurostat special tabulation,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2006,51.29,46.35,56.66,,C,C,C,,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,False,False,False,
I.3,Ia7751861,"Labour force participation rates for persons aged 15-24 and 15+, by sex",Sab331582,"Labour force participation rate for persons aged 15+, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2007,52.6,47.46,58.17,,C,C,C,,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,False,False,False,
