INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__CMFL,OBS_VALUE___T__COPA,OBS_VALUE___T__EPRS,OBS_VALUE___T__TRAF,OBS_VALUE___T__SOFT,OBS_VALUE___T__PCPR,OBS_VALUE___T__EMAIL,OBS_VALUE___T__INST,OBS_VALUE___T__ARSP,OBS_VALUE__F__PCPR,OBS_VALUE__F__COPA,OBS_VALUE__F__TRAF,OBS_VALUE__F__EPRS,OBS_VALUE__F__SOFT,OBS_VALUE__F__ARSP,OBS_VALUE__F__INST,OBS_VALUE__F__CMFL,OBS_VALUE__F__EMAIL,OBS_VALUE__M__PCPR,OBS_VALUE__M__SOFT,OBS_VALUE__M__EPRS,OBS_VALUE__M__COPA,OBS_VALUE__M__TRAF,OBS_VALUE__M__EMAIL,OBS_VALUE__M__INST,OBS_VALUE__M__CMFL,OBS_VALUE__M__ARSP,TIME_DETAIL___T__CMFL,TIME_DETAIL___T__COPA,TIME_DETAIL___T__EPRS,TIME_DETAIL___T__TRAF,TIME_DETAIL___T__SOFT,TIME_DETAIL___T__PCPR,TIME_DETAIL___T__EMAIL,TIME_DETAIL___T__INST,TIME_DETAIL___T__ARSP,TIME_DETAIL__F__PCPR,TIME_DETAIL__F__COPA,TIME_DETAIL__F__TRAF,TIME_DETAIL__F__EPRS,TIME_DETAIL__F__SOFT,TIME_DETAIL__F__ARSP,TIME_DETAIL__F__INST,TIME_DETAIL__F__CMFL,TIME_DETAIL__F__EMAIL,TIME_DETAIL__M__PCPR,TIME_DETAIL__M__SOFT,TIME_DETAIL__M__EPRS,TIME_DETAIL__M__COPA,TIME_DETAIL__M__TRAF,TIME_DETAIL__M__EMAIL,TIME_DETAIL__M__INST,TIME_DETAIL__M__CMFL,TIME_DETAIL__M__ARSP,NATURE___T__CMFL,NATURE___T__COPA,NATURE___T__EPRS,NATURE___T__TRAF,NATURE___T__SOFT,NATURE___T__PCPR,NATURE___T__EMAIL,NATURE___T__INST,NATURE___T__ARSP,NATURE__F__PCPR,NATURE__F__COPA,NATURE__F__TRAF,NATURE__F__EPRS,NATURE__F__SOFT,NATURE__F__ARSP,NATURE__F__INST,NATURE__F__CMFL,NATURE__F__EMAIL,NATURE__M__PCPR,NATURE__M__SOFT,NATURE__M__EPRS,NATURE__M__COPA,NATURE__M__TRAF,NATURE__M__EMAIL,NATURE__M__INST,NATURE__M__CMFL,NATURE__M__ARSP,COMMENT_OBS___T__CMFL,COMMENT_OBS___T__COPA,COMMENT_OBS___T__EPRS,COMMENT_OBS___T__TRAF,COMMENT_OBS___T__SOFT,COMMENT_OBS___T__PCPR,COMMENT_OBS___T__EMAIL,COMMENT_OBS___T__INST,COMMENT_OBS___T__ARSP,COMMENT_OBS__F__PCPR,COMMENT_OBS__F__COPA,COMMENT_OBS__F__TRAF,COMMENT_OBS__F__EPRS,COMMENT_OBS__F__SOFT,COMMENT_OBS__F__ARSP,COMMENT_OBS__F__INST,COMMENT_OBS__F__CMFL,COMMENT_OBS__F__EMAIL,COMMENT_OBS__M__PCPR,COMMENT_OBS__M__SOFT,COMMENT_OBS__M__EPRS,COMMENT_OBS__M__COPA,COMMENT_OBS__M__TRAF,COMMENT_OBS__M__EMAIL,COMMENT_OBS__M__INST,COMMENT_OBS__M__CMFL,COMMENT_OBS__M__ARSP,isLatestValue___T__CMFL,isLatestValue___T__COPA,isLatestValue___T__EPRS,isLatestValue___T__TRAF,isLatestValue___T__SOFT,isLatestValue___T__PCPR,isLatestValue___T__EMAIL,isLatestValue___T__INST,isLatestValue___T__ARSP,isLatestValue__F__PCPR,isLatestValue__F__COPA,isLatestValue__F__TRAF,isLatestValue__F__EPRS,isLatestValue__F__SOFT,isLatestValue__F__ARSP,isLatestValue__F__INST,isLatestValue__F__CMFL,isLatestValue__F__EMAIL,isLatestValue__M__PCPR,isLatestValue__M__SOFT,isLatestValue__M__EPRS,isLatestValue__M__COPA,isLatestValue__M__TRAF,isLatestValue__M__EMAIL,isLatestValue__M__INST,isLatestValue__M__CMFL,isLatestValue__M__ARSP
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2014,50.61998,45.75389,9.10239,32.68535,,4.51442,,20.13646,27.45678,3.36379,45.51979,29.97929,8.1937,,27.99661,15.58219,50.0924,,5.69872,,10.0377,45.99491,35.47072,,24.82421,51.16298,26.90109,2014,2014,2014,2014,,2014,,2014,2014,2014,2014,2014,2014,,2014,2014,2014,,2014,,2014,2014,2014,,2014,2014,2014,C,C,C,C,,C,,C,C,C,C,C,C,,C,C,C,,C,,C,C,C,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,False,,True,True,False,False,False,False,,True,True,False,,False,,False,False,False,,True,False,True
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2015,43.88899,,17.77392,42.05422,,1.99747,,,,,,,,,,,,,,,,,,,,,,2015,,2015,2015,,2015,,,,,,,,,,,,,,,,,,,,,,C,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,,False,,,,,,,,,,,,,,,,,,,,,
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2016,38.47206,,13.95785,36.30495,,1.04047,,,,0.52646,,35.72404,14.37326,,,,38.11307,,1.5681,,13.53144,,36.90125,,,38.84055,,2016,,2016,2016,,2016,,,,2016,,2016,2016,,,,2016,,2016,,2016,,2016,,,2016,,C,,C,C,,C,,,,C,,C,C,,,,C,,C,,C,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,,False,,,,False,,False,False,,,,False,,False,,False,,False,,,False,
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2017,44.29312,,14.9968,44.40031,,1.23109,,,,0.61099,,43.04265,15.34631,,,,43.4791,,1.86774,,14.63802,,45.7941,,,45.1288,,2017,,2017,2017,,2017,,,,2017,,2017,2017,,,,2017,,2017,,2017,,2017,,,2017,,C,,C,C,,C,,,,C,,C,C,,,,C,,C,,C,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,,False,,,,False,,False,False,,,,True,,False,,False,,False,,,True,
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2019,44.07832,44.07832,14.54827,43.17881,,1.08986,,,,0.55389,43.70403,42.17887,15.13598,,,,,,1.64042,,13.94456,44.4628,44.20599,,,,,2019,2019,2019,2019,,2019,,,,2019,2019,2019,2019,,,,,,2019,,2019,2019,2019,,,,,C,C,C,C,,C,,,,C,C,C,C,,,,,,C,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,,True,,,,True,True,True,True,,,,,,True,,True,True,True,,,,
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,,,,,,,0.01383,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2017,,,,,,,1.93125,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2018,40.21024,36.5678,12.2135,38.50005,24.46847,2.38893,33.99069,20.84866,17.60136,1.44176,37.77371,37.42219,12.72919,20.45611,18.29731,16.98826,40.93188,35.16768,3.65293,29.82293,11.52532,34.95853,39.93843,32.42,26.00032,39.2472,16.67262,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2021,PT,Percent,2019,44.0705,40.99968,12.42779,41.894,23.2847,2.0369,37.32302,19.63901,19.7073,1.50126,42.35236,41.70187,13.71431,19.71528,20.90856,16.72115,,38.46099,2.74337,27.99251,10.73095,39.21559,42.14741,35.82211,23.48745,,18.12292,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,2019,2019,2019,2019,2019,2019,2019,,2019,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True
II.10,Ib6932825,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill",S01912ae8,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2017,28.15766,27.14831,2.54596,20.9073,0.64066,0.14668,38.10607,1.55113,9.10463,0.1503,27.63007,21.23976,2.58721,0.65543,9.26469,1.58191,28.58248,38.63556,0.14291,0.62535,2.50323,26.64918,20.56287,37.55749,1.51923,27.71754,8.9388,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
