INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F,NATURE__F,COMMENT_OBS__F,isLatestValue__F
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2000,37.5,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2001,40.5,C,Repository: Eurostat special tabulation;Break in series: Methodology revised,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2002,42.3,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2003,37.8,C,Repository: Eurostat special tabulation;Break in series: Methodology revised,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2004,41.4,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2005,40.6,C,Repository: Eurostat special tabulation;Break in series: Methodology revised,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2006,37.6,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2007,36.4,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2008,36.5,C,Repository: Eurostat special tabulation;Break in series: Methodology revised,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2009,35.8,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2010,38.6,C,Repository: Eurostat special tabulation;Break in series: Methodology revised,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2011,37.0,C,Repository: Eurostat special tabulation;Break in series: Methodology revised,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2012,35.5,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2013,36.0,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2014,35.4,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2015,37.4,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2016,39.3,C,Repository: Eurostat special tabulation;,False
IV.3,6b4d10a8,Proportion of women in managerial positions,ca981746,Proportion of women in senior and middle management positions,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,2019,PT,Percent,2017,39.3,C,Repository: Eurostat special tabulation;,True
