INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__ISCED11_1,OBS_VALUE__F__ISCED11_1,OBS_VALUE__M__ISCED11_1,NATURE___T__ISCED11_1,NATURE__F__ISCED11_1,NATURE__M__ISCED11_1,isLatestValue___T__ISCED11_1,isLatestValue__F__ISCED11_1,isLatestValue__M__ISCED11_1
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,1996,93.94,92.72,95.1,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,1997,95.01,94.2,95.79,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,1998,97.47,96.01,98.86,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,1999,97.59,96.73,98.4,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2000,97.09,96.28,97.87,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2001,97.11,96.32,97.86,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2002,96.03,95.74,96.3,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2003,96.27,96.2,96.34,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2004,96.93,96.91,96.96,C,C,C,False,False,False
II.2,456b14be,Adjusted net enrolment rate in primary education by sex,456b14be,Adjusted net enrolment rate in primary education by sex (retired),100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2005,95.74,95.72,95.76,C,C,C,False,False,False
