INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__Y15T24,OBS_VALUE__F__Y15T24,OBS_VALUE__M__Y15T24,NATURE___T__Y15T24,NATURE__F__Y15T24,NATURE__M__Y15T24,isLatestValue___T__Y15T24,isLatestValue__F__Y15T24,isLatestValue__M__Y15T24
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2001,98.21,98.11,98.31,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",100,Bulgaria,BGR,25.0,43.0,Europe and Northern America,G,Global,2017,PT,Percent,2011,97.87,97.65,98.07,C,C,C,True,True,True
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",104,Myanmar,MMR,98.0,22.0,Eastern and South-Eastern Asia,G,Global,2017,PT,Percent,1983,84.9,81.34,88.57,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",104,Myanmar,MMR,98.0,22.0,Eastern and South-Eastern Asia,G,Global,2017,PT,Percent,2000,94.59,93.47,95.79,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",104,Myanmar,MMR,98.0,22.0,Eastern and South-Eastern Asia,G,Global,2017,PT,Percent,2016,84.75,84.41,85.12,E,E,E,True,True,True
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",108,Burundi,BDI,30.0,-3.5,Sub-Saharan Africa,G,Global,2017,PT,Percent,1979,30.98,21.49,40.93,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",108,Burundi,BDI,30.0,-3.5,Sub-Saharan Africa,G,Global,2017,PT,Percent,1990,53.56,48.01,59.5,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",108,Burundi,BDI,30.0,-3.5,Sub-Saharan Africa,G,Global,2017,PT,Percent,2000,73.33,70.37,76.78,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",108,Burundi,BDI,30.0,-3.5,Sub-Saharan Africa,G,Global,2017,PT,Percent,2008,61.74,57.32,66.61,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",108,Burundi,BDI,30.0,-3.5,Sub-Saharan Africa,G,Global,2017,PT,Percent,2014,79.56,74.96,85.29,C,C,C,True,True,True
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",112,Belarus,BLR,28.0,53.0,Europe and Northern America,G,Global,2017,PT,Percent,1989,99.77,99.8,99.73,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",112,Belarus,BLR,28.0,53.0,Europe and Northern America,G,Global,2017,PT,Percent,1999,99.79,99.83,99.76,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",112,Belarus,BLR,28.0,53.0,Europe and Northern America,G,Global,2017,PT,Percent,2009,99.82,99.85,99.8,C,C,C,True,True,True
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",116,Cambodia,KHM,105.0,13.0,Eastern and South-Eastern Asia,G,Global,2017,PT,Percent,1998,76.32,71.07,81.85,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",116,Cambodia,KHM,105.0,13.0,Eastern and South-Eastern Asia,G,Global,2017,PT,Percent,2004,83.38,78.9,87.92,C,C,C,False,False,False
II.1,2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",ed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",116,Cambodia,KHM,105.0,13.0,Eastern and South-Eastern Asia,G,Global,2017,PT,Percent,2008,87.47,85.53,89.38,C,C,C,False,False,False
