INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F,NATURE__F,isLatestValue__F
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2015,21.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2016,14.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2017,11.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2011,3.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2012,3.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2013,4.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2014,4.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2015,6.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2013,3.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,5.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2006,4.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2007,5.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2008,5.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2009,5.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2010,6.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2011,6.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2012,6.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2013,6.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2014,6.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2015,6.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2013,7.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2004,16.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2005,17.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2006,18.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2007,19.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2008,19.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2009,19.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2010,19.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2011,20.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2012,20.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2013,20.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2014,21.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2015,21.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2016,21.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,PT,Percent,2017,21.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2012,9.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2013,10.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2005,8.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2006,8.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2007,9.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2008,9.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2009,10.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2010,11.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2011,14.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2012,13.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2013,14.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2014,14.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2015,15.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2016,18.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,PT,Percent,2017,18.0,C,True
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2004,7.0,C,False
IV.4,b3320b80,Share of female police officers,b3320b80,Share of female police officers,170,Colombia,COL,-73.07446751,3.888209046,Latin America and the Caribbean,G,Global,2019,PT,Percent,2005,7.0,C,False
