INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y20T24,NATURE__F__Y20T24,COMMENT_OBS__F__Y20T24,isLatestValue__F__Y20T24
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,1,World,,,,,G,Global,2019,PT,Percent,2003,8.1,E,Based on 105 countries covering 77 per cent of the global population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,1,World,,,,,G,Global,2019,PT,Percent,2008,7.5,E,Based on 105 countries covering 77 per cent of the global population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,1,World,,,,,G,Global,2019,PT,Percent,2013,6.4,E,Based on 105 countries covering 77 per cent of the global population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,1,World,,,,,G,Global,2019,PT,Percent,2018,5.0,E,Based on 105 countries covering 77 per cent of the global population of women aged 20-24 years,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2015,1.9,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2017,2.8,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,PT,Percent,2012,0.0,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2014,1.9,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2013,0.4,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,10.2,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2005,2.8,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,PT,Percent,2010,29.1,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2003,0.3,E,Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2008,0.1,E,Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2013,0.2,E,Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,143,Central Asia,,,,Central and Southern Asia,G,Global,2019,PT,Percent,2018,0.3,E,Based on 4 countries covering 52 per cent of the regional population of women aged 20-24 years,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,PT,Percent,2016,0.9,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2003,6.2,E,Based on 9 countries covering 71 per cent of the regional population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2008,5.7,E,Based on 9 countries covering 71 per cent of the regional population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2013,4.5,E,Based on 9 countries covering 71 per cent of the regional population of women aged 20-24 years,False
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,145,Western Asia,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2018,3.4,E,Based on 9 countries covering 71 per cent of the regional population of women aged 20-24 years,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2019,PT,Percent,2015,29.7,C,,True
V.4,Ic36721ab,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,S93ff1bef,Proportion of women aged 20-24 years who were married or in a union before age 15,15,Northern Africa,,,,Northern Africa and Western Asia,G,Global,2019,PT,Percent,2003,5.3,E,Based on 5 countries covering 95 per cent of the regional population of women aged 20-24 years,False
