INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F,OBS_VALUE__M,OBS_VALUE___O,OBS_VALUE___T,NATURE__F,NATURE__M,NATURE___O,NATURE___T,COMMENT_OBS__F,COMMENT_OBS__M,COMMENT_OBS___O,COMMENT_OBS___T,isLatestValue__F,isLatestValue__M,isLatestValue___O,isLatestValue___T
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2000,9.2,14.9,,12.3,C,C,,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,Repository: Eurostat special tabulation,False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2001,7.8,11.9,,10.0,C,C,,C,"Break in series: Methodology revised, Repository: Eurostat special tabulation","Break in series: Methodology revised, Repository: Eurostat special tabulation",,"Break in series: Methodology revised, Repository: Eurostat special tabulation",False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2002,8.0,11.9,,10.0,C,C,,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,Repository: Eurostat special tabulation,False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2003,7.7,12.5,,10.2,C,C,,C,"Break in series: Methodology revised, Repository: Eurostat special tabulation","Break in series: Methodology revised, Repository: Eurostat special tabulation",,"Break in series: Methodology revised, Repository: Eurostat special tabulation",False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2004,7.4,12.1,,9.9,C,C,,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,Repository: Eurostat special tabulation,False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2005,6.5,10.5,,8.6,C,C,,C,"Break in series: Methodology revised, Repository: Eurostat special tabulation","Break in series: Methodology revised, Repository: Eurostat special tabulation",,"Break in series: Methodology revised, Repository: Eurostat special tabulation",False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2006,6.0,9.6,,7.9,C,C,,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,Repository: Eurostat special tabulation,False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2007,5.4,8.8,,7.2,C,C,,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,Repository: Eurostat special tabulation,False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2008,6.0,9.2,,7.7,C,C,,C,"Break in series: Methodology revised, Repository: Eurostat special tabulation","Break in series: Methodology revised, Repository: Eurostat special tabulation",,"Break in series: Methodology revised, Repository: Eurostat special tabulation",False,False,,False
I.4,I8bd915c9,"Proportion of employed who are own-account workers, by sex",S8bd915c9,"Proportion of employed who are own-account workers, by sex",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2021,PT,Percent,2009,6.2,9.5,,8.0,C,C,,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,,Repository: Eurostat special tabulation,False,False,,False
