INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y15T49__PHY+SEX,OBS_VALUE__F__Y30T34__PHY+SEX,OBS_VALUE__F__Y35T39__PHY+SEX,OBS_VALUE__F__Y40T44__PHY+SEX,OBS_VALUE__F__Y20T24__PHY+SEX,OBS_VALUE__F__Y45T49__PHY+SEX,OBS_VALUE__F__Y15T19__PHY+SEX,OBS_VALUE__F__Y25T29__PHY+SEX,OBS_VALUE__F__Y18T24__PHY+SEX,OBS_VALUE__F__Y15T24__PHY+SEX,OBS_VALUE__F__Y30T39__PHY+SEX,OBS_VALUE__F__Y20T29__PHY+SEX,OBS_VALUE__F__Y40T49__PHY+SEX,OBS_VALUE__F__Y18T49__PHY+SEX,OBS_VALUE__F__Y18T19__PHY+SEX,OBS_VALUE__F__Y25T34__PHY+SEX,OBS_VALUE__F__Y45T59__PHY+SEX,OBS_VALUE__F__Y30T35__PHY+SEX,OBS_VALUE__F__Y35T44__PHY+SEX,OBS_VALUE__F__Y15T44__PHY+SEX,OBS_VALUE__F__Y18T50__PHY+SEX,TIME_DETAIL__F__Y15T49__PHY+SEX,TIME_DETAIL__F__Y30T34__PHY+SEX,TIME_DETAIL__F__Y35T39__PHY+SEX,TIME_DETAIL__F__Y40T44__PHY+SEX,TIME_DETAIL__F__Y20T24__PHY+SEX,TIME_DETAIL__F__Y45T49__PHY+SEX,TIME_DETAIL__F__Y15T19__PHY+SEX,TIME_DETAIL__F__Y25T29__PHY+SEX,TIME_DETAIL__F__Y18T24__PHY+SEX,TIME_DETAIL__F__Y15T24__PHY+SEX,TIME_DETAIL__F__Y30T39__PHY+SEX,TIME_DETAIL__F__Y20T29__PHY+SEX,TIME_DETAIL__F__Y40T49__PHY+SEX,TIME_DETAIL__F__Y18T49__PHY+SEX,TIME_DETAIL__F__Y18T19__PHY+SEX,TIME_DETAIL__F__Y25T34__PHY+SEX,TIME_DETAIL__F__Y45T59__PHY+SEX,TIME_DETAIL__F__Y30T35__PHY+SEX,TIME_DETAIL__F__Y35T44__PHY+SEX,TIME_DETAIL__F__Y15T44__PHY+SEX,TIME_DETAIL__F__Y18T50__PHY+SEX,NATURE__F__Y15T49__PHY+SEX,NATURE__F__Y30T34__PHY+SEX,NATURE__F__Y35T39__PHY+SEX,NATURE__F__Y40T44__PHY+SEX,NATURE__F__Y20T24__PHY+SEX,NATURE__F__Y45T49__PHY+SEX,NATURE__F__Y15T19__PHY+SEX,NATURE__F__Y25T29__PHY+SEX,NATURE__F__Y18T24__PHY+SEX,NATURE__F__Y15T24__PHY+SEX,NATURE__F__Y30T39__PHY+SEX,NATURE__F__Y20T29__PHY+SEX,NATURE__F__Y40T49__PHY+SEX,NATURE__F__Y18T49__PHY+SEX,NATURE__F__Y18T19__PHY+SEX,NATURE__F__Y25T34__PHY+SEX,NATURE__F__Y45T59__PHY+SEX,NATURE__F__Y30T35__PHY+SEX,NATURE__F__Y35T44__PHY+SEX,NATURE__F__Y15T44__PHY+SEX,NATURE__F__Y18T50__PHY+SEX,COMMENT_OBS__F__Y15T49__PHY+SEX,COMMENT_OBS__F__Y30T34__PHY+SEX,COMMENT_OBS__F__Y35T39__PHY+SEX,COMMENT_OBS__F__Y40T44__PHY+SEX,COMMENT_OBS__F__Y20T24__PHY+SEX,COMMENT_OBS__F__Y45T49__PHY+SEX,COMMENT_OBS__F__Y15T19__PHY+SEX,COMMENT_OBS__F__Y25T29__PHY+SEX,COMMENT_OBS__F__Y18T24__PHY+SEX,COMMENT_OBS__F__Y15T24__PHY+SEX,COMMENT_OBS__F__Y30T39__PHY+SEX,COMMENT_OBS__F__Y20T29__PHY+SEX,COMMENT_OBS__F__Y40T49__PHY+SEX,COMMENT_OBS__F__Y18T49__PHY+SEX,COMMENT_OBS__F__Y18T19__PHY+SEX,COMMENT_OBS__F__Y25T34__PHY+SEX,COMMENT_OBS__F__Y45T59__PHY+SEX,COMMENT_OBS__F__Y30T35__PHY+SEX,COMMENT_OBS__F__Y35T44__PHY+SEX,COMMENT_OBS__F__Y15T44__PHY+SEX,COMMENT_OBS__F__Y18T50__PHY+SEX,isLatestValue__F__Y15T49__PHY+SEX,isLatestValue__F__Y30T34__PHY+SEX,isLatestValue__F__Y35T39__PHY+SEX,isLatestValue__F__Y40T44__PHY+SEX,isLatestValue__F__Y20T24__PHY+SEX,isLatestValue__F__Y45T49__PHY+SEX,isLatestValue__F__Y15T19__PHY+SEX,isLatestValue__F__Y25T29__PHY+SEX,isLatestValue__F__Y18T24__PHY+SEX,isLatestValue__F__Y15T24__PHY+SEX,isLatestValue__F__Y30T39__PHY+SEX,isLatestValue__F__Y20T29__PHY+SEX,isLatestValue__F__Y40T49__PHY+SEX,isLatestValue__F__Y18T49__PHY+SEX,isLatestValue__F__Y18T19__PHY+SEX,isLatestValue__F__Y25T34__PHY+SEX,isLatestValue__F__Y45T59__PHY+SEX,isLatestValue__F__Y30T35__PHY+SEX,isLatestValue__F__Y35T44__PHY+SEX,isLatestValue__F__Y15T44__PHY+SEX,isLatestValue__F__Y18T50__PHY+SEX
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",1,World,,,,,G,Global,2019,PT,Percent,2017,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,Based on 106 countries with a population coverage of 50 per cent;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2012,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,Women aged 18-74; definition of physical and sexual violence differs from the standard;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2016,11.0,11.7,9.9,10.5,14.0,5.8,21.8,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,PT,Percent,2017,27.9,28.6,26.5,22.5,34.4,21.9,37.8,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,PT,Percent,2014,10.9,12.8,14.1,11.1,9.8,10.9,7.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,PT,Percent,2014,32.7,35.7,35.2,31.4,32.8,28.2,27.4,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,PT,Percent,2005,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,PT,Percent,2006,26.3,,,,,,31.8,,,,22.4,29.9,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,C,,,,C,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,True,True,True,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",143,Central Asia,,,,,G,Global,2019,PT,Percent,2017,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,Based on 2 countries with a population coverage of 21 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region.;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
V.1,a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",a8b55125,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",145,Western Asia,,,,,G,Global,2019,PT,Percent,2017,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,Based on 5 countries with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region.;,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
