INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___O,OBS_VALUE___T,OBS_VALUE__F,OBS_VALUE__M,NATURE___O,NATURE___T,NATURE__F,NATURE__M,COMMENT_OBS___O,COMMENT_OBS___T,COMMENT_OBS__F,COMMENT_OBS__M,isLatestValue___O,isLatestValue___T,isLatestValue__F,isLatestValue__M
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",1,World,,,,,G,Global,2021,PT,Percent,2019,,48.9,44.4,51.9,,E,E,E,,,,,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2015,,80.7,80.0,81.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2017,,77.7,78.7,76.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2018,,78.9,79.7,78.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2019,,79.6,81.3,78.0,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,,89.4,87.3,90.2,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2021,PT,Percent,2012,,90.6,94.2,87.3,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2021,PT,Percent,2007,,79.2,86.6,73.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,,False,False,False
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2021,PT,Percent,2014,,82.1,87.7,77.8,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,,True,True,True
I.9,Iddba1b3e,"Proportion of informal employment in non agriculture employment, by sex",Sdf4d1b4b,"Proportion of informal employment in non-agriculture employment, by sex",132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2021,PT,Percent,2015,,57.8,59.6,55.9,,C,C,C,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old,,True,True,True
