INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,TIME_PERIOD,VALUE_CATEGORY_DESC__F,VALUE_CATEGORY_DESC__M,TIME_DETAIL__F,TIME_DETAIL__M,NATURE__F,NATURE__M,COMMENT_OBS__F,COMMENT_OBS__M,isLatestValue__F,isLatestValue__M
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,20,Andorra,AND,1.576257417,42.54548611,Europe and Northern America,G,Global,2021,2019,Both less than 18 years,Both less than 18 years,2010-2019,2010-2019,C,C,14 years,14 years,True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,233,Estonia,EST,25.84093481,58.68487172,Europe and Northern America,G,Global,2021,2019,,Both less than 18 years,,2010-2019,,C,,15 years.,,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,234,Faroe Islands,FRO,-7.122044325,62.21228119,Europe and Northern America,G,Global,2021,2019,Both at least 18 years,Both at least 18 years,2010-2019,2010-2019,C,C,18 years. The minimum legal age at which marriage can take place is the same with or without parental consent,18 years. The minimum legal age at which marriage can take place is the same with or without parental consent,True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,G,Global,2021,2019,No fixed data,No fixed data,2010-2019,2010-2019,C,C,Persons less than 18 years old need the permission of the Ministry of Justice.,Persons less than 18 years old need the permission of the Ministry of Justice.,True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,248,Åland Islands,ALA,19.80945969,60.1544901,Europe and Northern America,G,Global,2021,2019,No fixed data,No fixed data,2010-2019,2010-2019,C,C,Persons less than 18 years old need the permission of the Ministry of Justice.,Persons less than 18 years old need the permission of the Ministry of Justice.,True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,2019,Both at least 18 years,Both at least 18 years,2010-2019,2010-2019,C,C,18 years. The minimum legal age at which marriage can take place is the same with or without parental consent,18 years. The minimum legal age at which marriage can take place is the same with or without parental consent,True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,2019,Both less than 18 years,Both less than 18 years,2010-2019,2010-2019,C,C,16 years.,16 years.,True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,G,Global,2021,2019,Both less than 18 years,No fixed data,2010-2019,2010-2019,C,C,"14.5 years. The legal marriage age for females is 14 years, 6 months and 22 days. There must be parental consent (father or brother if the father is dead).","The legal marriage age for females is 14 years, 6 months and 22 days. There must be parental consent (father or brother if the father is dead). The legal marriage age for males is 15 years, 6 months and 21 days. Parental consent is not required.",True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,276,Germany,DEU,10.3806066,51.08862743,Europe and Northern America,G,Global,2021,2019,Both less than 18 years,Both less than 18 years,2010-2019,2010-2019,C,C,16 years. Marriage at 16-17 years of age requires that the other spouse be an adult already betrothed (18 years) and an exemption from the requirement of majority by a competent family court.,16 years. Marriage at 16-17 years of age requires that the other spouse be an adult already betrothed (18 years) and an exemption from the requirement of majority by a competent family court.,True,True
QV.4,Ifdb90d43,Legal minimum age at marriage by sex,S174413b8,Minimum age for legal marriage - With parental consent,292,Gibraltar,GIB,-5.347561686,36.13895036,Europe and Northern America,G,Global,2021,2019,Both less than 18 years,Both less than 18 years,2010-2019,2010-2019,C,C,16 years.,16 years.,True,True
