INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F,OBS_VALUE___T,OBS_VALUE__M,NATURE__F,NATURE___T,NATURE__M,isLatestValue__F,isLatestValue___T,isLatestValue__M
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1990,78.84158,83.15778,87.29185,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1991,79.16648,83.36096,87.4274,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1992,79.54594,83.67278,87.6261,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1993,79.79479,83.91601,87.8662,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1994,80.22164,84.18628,87.99502,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1995,80.6442,84.45603,88.11812,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1996,81.06793,84.72081,88.22991,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1997,82.26031,85.53777,88.68729,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1998,82.77562,86.26228,89.61977,C,C,C,False,False,False
II.9,I2e391327,"Youth literacy rate of persons aged 15-24 years, by sex",Sed7f11c7,"Youth literacy rate of persons (15-24 years), by sex",1,World,,,,,G,Global,2021,PT,Percent,1999,83.24554,86.57237,89.76363,C,C,C,False,False,False
